tamaño	tiempo

500	1.340100
1000	2.532100
1500	4.403050
2000	5.195700
2500	6.391550
3000	8.229800
3500	9.319500
4000	11.277600
4500	11.580750
5000	13.631800
5500	13.816550
6000	16.788550
6500	18.381300
7000	18.533300
7500	20.560600
8000	20.787750
8500	22.117100
9000	22.665000
9500	27.723600
10000	28.796900
10500	28.699650
11000	29.034000
11500	28.645550
12000	30.818050
12500	31.184900
13000	34.013350
13500	35.698100
14000	40.037600
14500	41.911300
15000	41.996300
